PostId,TagId,TagName
"22419958","115425","data-science"
"27044751","115425","data-science"
"29692571","115425","data-science"
"29768730","115425","data-science"
"33358674","115425","data-science"
"33454403","115425","data-science"
"33613337","115425","data-science"
"33658729","115425","data-science"
"33813107","115425","data-science"
"33976069","115425","data-science"
"33977673","115425","data-science"
"34035188","115425","data-science"
"34060332","115425","data-science"
"34062909","115425","data-science"
"34093303","115425","data-science"
"34108116","115425","data-science"
"34126314","115425","data-science"
"34155609","115425","data-science"
"34216059","115425","data-science"
"34224768","115425","data-science"
"34248532","115425","data-science"
"34282203","115425","data-science"
"34375377","115425","data-science"
"34390336","115425","data-science"
"34437357","115425","data-science"
"34448582","115425","data-science"
"34469597","115425","data-science"
"34482661","115425","data-science"
"34500621","115425","data-science"
"34572538","115425","data-science"
"34666265","115425","data-science"
"34673396","115425","data-science"
"34682869","115425","data-science"
"34702041","115425","data-science"
"34716454","115425","data-science"
"34716573","115425","data-science"
"34717241","115425","data-science"
"34839318","115425","data-science"
"34846651","115425","data-science"
"34901436","115425","data-science"
"34915833","115425","data-science"
"34964240","115425","data-science"
"35050753","115425","data-science"
"35050812","115425","data-science"
"35067412","115425","data-science"
"35072299","115425","data-science"
"35074549","115425","data-science"
"35123939","115425","data-science"
"35157358","115425","data-science"
"35167374","115425","data-science"
"35217477","115425","data-science"
"35247778","115425","data-science"
"35277725","115425","data-science"
"35316299","115425","data-science"
"35413540","115425","data-science"
"35471371","115425","data-science"
"35486266","115425","data-science"
"35510697","115425","data-science"
"35528905","115425","data-science"
"35570481","115425","data-science"
"35594007","115425","data-science"
"35658188","115425","data-science"
"35712709","115425","data-science"
"35725478","115425","data-science"
"35778654","115425","data-science"
"35874882","115425","data-science"
"35884642","115425","data-science"
"35890397","115425","data-science"
"35926349","115425","data-science"
"35978132","115425","data-science"
"36074721","115425","data-science"
"36086831","115425","data-science"
"36106756","115425","data-science"
"36110603","115425","data-science"
"36122014","115425","data-science"
"36215863","115425","data-science"
"36247973","115425","data-science"
"36295365","115425","data-science"
"36328327","115425","data-science"
"36412569","115425","data-science"
"36470834","115425","data-science"
"36484362","115425","data-science"
"36486120","115425","data-science"
"36509070","115425","data-science"
"36611380","115425","data-science"
"36615987","115425","data-science"
"36668768","115425","data-science"
"36683310","115425","data-science"
"36718672","115425","data-science"
"36730408","115425","data-science"
"36736925","115425","data-science"
"36795284","115425","data-science"
"36833433","115425","data-science"
"36846795","115425","data-science"
"36896649","115425","data-science"
"36938193","115425","data-science"
"36944121","115425","data-science"
"37081388","115425","data-science"
"37111338","115425","data-science"
"37125678","115425","data-science"
"37129602","115425","data-science"
"37132983","115425","data-science"
"37171072","115425","data-science"
"37216279","115425","data-science"
"37265268","115425","data-science"
"37307796","115425","data-science"
"37334395","115425","data-science"
"37375617","115425","data-science"
"37378990","115425","data-science"
"37381862","115425","data-science"
"37383437","115425","data-science"
"37407855","115425","data-science"
"37462517","115425","data-science"
"37487455","115425","data-science"
"37536412","115425","data-science"
"37536833","115425","data-science"
"37571165","115425","data-science"
"37631521","115425","data-science"
"37668134","115425","data-science"
"37698516","115425","data-science"
"37718347","115425","data-science"
"37746766","115425","data-science"
"37763715","115425","data-science"
"37766030","115425","data-science"
"37798109","115425","data-science"
"37805772","115425","data-science"
"37827996","115425","data-science"
"37863705","115425","data-science"
"37873759","115425","data-science"
"37917170","115425","data-science"
"37935920","115425","data-science"
"38051242","115425","data-science"
"38097215","115425","data-science"
"38102864","115425","data-science"
"38188768","115425","data-science"
"38215493","115425","data-science"
"38230462","115425","data-science"
"38257639","115425","data-science"
"38315846","115425","data-science"
"38332932","115425","data-science"
"38420847","115425","data-science"
"38422369","115425","data-science"
"38459794","115425","data-science"
"38466317","115425","data-science"
"38473328","115425","data-science"
"38477175","115425","data-science"
"38484896","115425","data-science"
"38512174","115425","data-science"
"38605787","115425","data-science"
"38608936","115425","data-science"
"38610634","115425","data-science"
"38621205","115425","data-science"
"38621685","115425","data-science"
"38622163","115425","data-science"
"38630036","115425","data-science"
"38635166","115425","data-science"
"38654977","115425","data-science"
"38667295","115425","data-science"
"38678246","115425","data-science"
"38711070","115425","data-science"
"38726886","115425","data-science"
"38726987","115425","data-science"
"38741257","115425","data-science"
"38784260","115425","data-science"
"38809007","115425","data-science"
"38837840","115425","data-science"
"38841742","115425","data-science"
"38925494","115425","data-science"
"38983295","115425","data-science"
"38983799","115425","data-science"
"38985350","115425","data-science"
"39092584","115425","data-science"
"39119357","115425","data-science"
"39166753","115425","data-science"
"39171318","115425","data-science"
"39174005","115425","data-science"
"39177379","115425","data-science"
"39240078","115425","data-science"
"39276431","115425","data-science"
"39281678","115425","data-science"
"39288946","115425","data-science"
"39292155","115425","data-science"
"39307119","115425","data-science"
"39316140","115425","data-science"
"39330442","115425","data-science"
"39330736","115425","data-science"
"39349711","115425","data-science"
"39352695","115425","data-science"
"39359272","115425","data-science"
"39382396","115425","data-science"
"39386936","115425","data-science"
"39410810","115425","data-science"
"39459203","115425","data-science"
"39477397","115425","data-science"
"39481516","115425","data-science"
"39496662","115425","data-science"
"39515063","115425","data-science"
"39569026","115425","data-science"
"39574014","115425","data-science"
"39605007","115425","data-science"
"39628481","115425","data-science"
"39642045","115425","data-science"
"39647269","115425","data-science"
"39652733","115425","data-science"
"39653769","115425","data-science"
"39675599","115425","data-science"
"39681155","115425","data-science"
"39748285","115425","data-science"
"39778686","115425","data-science"
"39788188","115425","data-science"
"39799859","115425","data-science"
"39868547","115425","data-science"
"39904659","115425","data-science"
"39923512","115425","data-science"
"39926425","115425","data-science"
"39951768","115425","data-science"
"39956113","115425","data-science"
"39969168","115425","data-science"
"39981498","115425","data-science"
"39993744","115425","data-science"
"40012035","115425","data-science"
"40018417","115425","data-science"
"40078798","115425","data-science"
"40107754","115425","data-science"
"40152835","115425","data-science"
"40165670","115425","data-science"
"40170038","115425","data-science"
"40208132","115425","data-science"
"40232191","115425","data-science"
"40251251","115425","data-science"
"40289797","115425","data-science"
"40302188","115425","data-science"
"40314646","115425","data-science"
"40315544","115425","data-science"
"40318121","115425","data-science"
"40323393","115425","data-science"
"40341519","115425","data-science"
"40344846","115425","data-science"
"40399802","115425","data-science"
"40434685","115425","data-science"
"40448063","115425","data-science"
"40481943","115425","data-science"
"40508974","115425","data-science"
"40519096","115425","data-science"
"40523185","115425","data-science"
"40525680","115425","data-science"
"40545839","115425","data-science"
"40554445","115425","data-science"
"40556159","115425","data-science"
"40606726","115425","data-science"
"40634437","115425","data-science"
"40639601","115425","data-science"
"40642132","115425","data-science"
"40663016","115425","data-science"
"40688750","115425","data-science"
"40700960","115425","data-science"
"40710747","115425","data-science"
"40727723","115425","data-science"
"40731249","115425","data-science"
"40737033","115425","data-science"
"40742172","115425","data-science"
"40753496","115425","data-science"
"40765443","115425","data-science"
"40770108","115425","data-science"
"40776967","115425","data-science"
"40785765","115425","data-science"
"40790031","115425","data-science"
"40813733","115425","data-science"
"40816541","115425","data-science"
"40823979","115425","data-science"
"40825882","115425","data-science"
"40826682","115425","data-science"
"40847745","115425","data-science"
"40890229","115425","data-science"
"40917585","115425","data-science"
"40991725","115425","data-science"
"40994642","115425","data-science"
"41003513","115425","data-science"
